t,active_cpu_fog,fog_capacity,pressure,worst_fog_pressure,predicted_pressure,prediction_uncertainty,lstm_fallback_used,dqn_fallback_used_tasks,scale_decision,offload_ratio,offload_reason,tasks_on_fog,tasks_on_cloud,tasks_placed_fog,tasks_placed_cloud,fog_nodes_used_tick,cloud_nodes_used_tick,scale_up_total,scale_down_total,energy_joules_cumul
35,216,365,0.5917808219178082,0.7363636363636363,0.7665060240963855,0.1920497952037471,0,0,down,0.0,low pressure,8,0,5,0,3,0,0,1,24581.672389529973
36,252,365,0.6904109589041096,0.9,0.7665060240963855,0.1920497952037471,0,0,down,0.0,low pressure,13,0,6,0,2,0,0,1,25388.9634112018
37,231,365,0.6328767123287671,0.9,0.7665060240963855,0.1920497952037471,0,0,down,0.0,low pressure,12,0,2,0,1,0,0,1,26154.489726991273
38,131,365,0.3589041095890411,0.9,0.7665060240963855,0.1920497952037471,0,0,down,0.0,low pressure,10,0,1,0,1,0,0,1,26751.38446383338
39,37,365,0.10136986301369863,0.21176470588235294,0.7665060240963855,0.1920497952037471,0,0,down,0.0,low pressure,6,0,2,0,2,0,0,1,27215.225724739656
40,121,365,0.3315068493150685,0.4631578947368421,0.9757811970416814,0.27592003261334963,0,0,none,0.0,low pressure,7,0,4,0,3,0,0,1,27812.82775119617
41,198,365,0.5424657534246575,0.6,0.9757811970416814,0.27592003261334963,0,0,none,0.0,low pressure,10,0,4,0,4,0,0,1,28536.458767238953
42,168,365,0.4602739726027397,0.6,0.9757811970416814,0.27592003261334963,0,0,none,0.0,low pressure,11,0,4,0,1,0,0,1,29207.5068955812
43,89,365,0.24383561643835616,0.38666666666666666,0.9757811970416814,0.27592003261334963,0,0,none,0.0,low pressure,9,0,2,0,1,0,0,1,29762.430622009568
44,48,365,0.13150684931506848,0.24,0.9757811970416814,0.27592003261334963,0,0,none,0.0,low pressure,8,0,2,0,2,0,0,1,30244.828032648464
45,83,365,0.2273972602739726,0.5894736842105263,0.9757811970416814,0.27592003261334963,0,0,none,0.0,low pressure,7,0,1,0,1,0,0,1,30775.751759076833
46,179,365,0.4904109589041096,0.6,0.9757811970416814,0.27592003261334963,0,0,none,0.0,low pressure,6,0,3,0,3,0,0,1,31458.996341120175
47,186,365,0.5095890410958904,0.6,0.9757811970416814,0.27592003261334963,0,0,none,0.0,low pressure,7,0,3,0,2,0,0,1,32158.346186321414
48,171,365,0.4684931506849315,0.6,0.9757811970416814,0.27592003261334963,0,0,none,0.0,low pressure,8,0,2,0,1,0,0,1,32834.01182099634
49,84,365,0.23013698630136986,0.37894736842105264,0.9757811970416814,0.27592003261334963,0,0,none,0.0,low pressure,6,0,1,0,1,0,0,1,33368.356600056286
50,195,365,0.5342465753424658,0.9636363636363636,1.118679942741786,0.2682914006329369,0,0,up,0.2801879598392891,demand/capacity=1.09,9,1,5,1,3,1,1,1,34067.2735716296
51,236,415,0.5686746987951807,0.8526315789473684,1.118679942741786,0.2682914006329369,0,0,up,0.2801879598392891,demand/capacity=1.09,8,3,3,2,3,2,1,1,34956.15226569096
52,236,415,0.5686746987951807,0.8526315789473684,1.118679942741786,0.2682914006329369,0,0,up,0.2801879598392891,demand/capacity=1.09,8,3,0,0,0,0,1,1,35845.030959752316
53,103,415,0.24819277108433735,0.8526315789473684,1.118679942741786,0.2682914006329369,0,0,up,0.2801879598392891,demand/capacity=1.09,3,2,0,0,0,0,1,1,36527.92569659442
54,102,415,0.2457831325301205,0.6,1.118679942741786,0.2682914006329369,0,0,up,0.2801879598392891,demand/capacity=1.09,3,0,3,0,3,0,1,1,37179.411764705874
55,145,415,0.3493975903614458,0.6,1.118679942741786,0.2682914006329369,0,0,up,0.2801879598392891,demand/capacity=1.09,6,1,3,1,3,1,1,1,37901.47678018575
56,177,415,0.42650602409638555,0.6,1.118679942741786,0.2682914006329369,0,0,up,0.2801879598392891,demand/capacity=1.09,7,3,2,2,2,2,1,1,38689.188854489155
57,229,415,0.5518072289156627,0.9181818181818182,1.118679942741786,0.2682914006329369,0,0,up,0.2801879598392891,demand/capacity=1.09,9,4,4,1,3,1,1,1,39560.37742752602
58,277,415,0.6674698795180722,0.9473684210526315,1.118679942741786,0.2682914006329369,0,0,up,0.2801879598392891,demand/capacity=1.09,8,4,1,1,1,1,1,1,40506.09231635237
59,237,415,0.5710843373493976,0.9473684210526315,1.118679942741786,0.2682914006329369,0,0,up,0.2801879598392891,demand/capacity=1.09,6,3,2,1,2,1,1,1,41376.68955811989
60,192,415,0.46265060240963857,0.9473684210526315,1.07766574993191,0.2584542636418007,0,0,none,0.14158247462581608,demand/capacity=1.02,8,4,5,2,2,2,1,1,42187.55952716014
61,211,415,0.5084337349397591,0.9333333333333333,1.07766574993191,0.2584542636418007,0,0,none,0.14158247462581608,demand/capacity=1.02,14,3,8,0,3,0,1,1,43048.79791725302
62,305,415,0.7349397590361446,0.9333333333333333,1.07766574993191,0.2584542636418007,0,0,none,0.14158247462581608,demand/capacity=1.02,21,2,10,1,3,1,1,1,44100.51224317477
63,379,415,0.9132530120481928,0.990909090909091,1.07766574993191,0.2584542636418007,0,0,none,0.14158247462581608,demand/capacity=1.02,28,3,9,2,4,2,1,1,45273.120743034044
64,352,415,0.8481927710843373,0.990909090909091,1.07766574993191,0.2584542636418007,0,0,none,0.14158247462581608,demand/capacity=1.02,29,3,7,1,2,1,1,1,46398.30819026174
65,311,415,0.7493975903614458,0.9181818181818182,1.07766574993191,0.2584542636418007,0,0,none,0.14158247462581608,demand/capacity=1.02,23,3,7,1,3,1,1,1,47451.831128623686
66,346,415,0.8337349397590361,0.8941176470588236,1.07766574993191,0.2584542636418007,0,0,none,0.14158247462581608,demand/capacity=1.02,21,9,6,7,2,2,1,1,48558.489445538966
67,297,415,0.7156626506024096,0.8636363636363636,1.07766574993191,0.2584542636418007,0,0,none,0.14158247462581608,demand/capacity=1.02,20,11,6,3,2,2,1,1,49583.24542640021
68,345,415,0.8313253012048193,0.9818181818181818,1.07766574993191,0.2584542636418007,0,0,none,0.14158247462581608,demand/capacity=1.02,21,11,10,2,4,2,1,1,50682.37264283702
69,363,415,0.8746987951807229,0.9818181818181818,1.07766574993191,0.2584542636418007,0,0,none,0.14158247462581608,demand/capacity=1.02,25,6,8,3,4,2,1,1,51831.3233886856
