t,active_cpu_fog,fog_capacity,pressure,predicted_pressure,prediction_uncertainty,tasks_placed_fog,tasks_placed_cloud,arrivals,scale_decision,scale_up_total,scale_down_total,energy_joules_cumul,energy_tick,offload_ratio,active_fog_nodes,overloaded,fog_f0_p,fog_f0_load,fog_f0_power,fog_f0_active,fog_f1_p,fog_f1_load,fog_f1_power,fog_f1_active,fog_f2_p,fog_f2_load,fog_f2_power,fog_f2_active,fog_f3_p,fog_f3_load,fog_f3_power,fog_f3_active,fog_f4_p,fog_f4_load,fog_f4_power,fog_f4_active,cloud_c0_load,cloud_c1_load
57,140.66666666666669,185.0,0.7603603603603605,0.360933256840315,0.22283671179247339,3,2,5,none,0,1,12133.939393939394,240.03030303030303,0.4,2,0,0.7424242424242423,81.66666666666666,141.36363636363635,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.7866666666666668,59.000000000000014,98.66666666666669,1,270.0,129.66666666666666
58,103.66666666666667,185.0,0.5603603603603604,0.360933256840315,0.22283671179247339,1,1,2,none,0,1,12323.515151515152,189.57575757575756,0.5,2,0,0.40606060606060596,44.66666666666666,90.90909090909089,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.7866666666666668,59.000000000000014,98.66666666666669,1,270.0,129.66666666666666
59,102.33333333333334,185.0,0.5531531531531532,0.360933256840315,0.22283671179247339,3,0,3,none,0,1,12511.757575757576,188.24242424242425,0.0,2,0,0.5393939393939393,59.33333333333332,110.90909090909089,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.5733333333333335,43.000000000000014,77.33333333333334,1,180.0,90.0
60,148.33333333333334,185.0,0.8018018018018018,0.39334448746658074,0.22544898658313509,5,2,7,none,0,1,12762.59595959596,250.83838383838383,0.2857142857142857,2,0,0.9181818181818181,100.99999999999999,167.72727272727272,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.6311111111111113,47.33333333333335,83.11111111111113,1,100.0,171.0
61,148.33333333333331,185.0,0.8018018018018017,0.39334448746658074,0.22544898658313509,6,2,8,none,0,1,13013.30303030303,250.7070707070707,0.25,2,0,0.8787878787878786,96.66666666666664,161.81818181818178,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.6888888888888891,51.666666666666686,88.88888888888891,1,166.0,120.66666666666666
62,176.0,185.0,0.9513513513513514,0.39334448746658074,0.22544898658313509,8,3,11,none,0,1,13301.21212121212,287.9090909090909,0.2727272727272727,2,0,0.9727272727272724,106.99999999999997,175.90909090909088,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.9200000000000002,69.00000000000001,112.00000000000001,1,84.0,231.66666666666666
63,173.0,185.0,0.9351351351351351,0.39334448746658074,0.22544898658313509,1,10,11,none,0,1,13585.12121212121,283.9090909090909,0.9090909090909091,2,0,0.9727272727272724,106.99999999999997,175.90909090909088,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.8800000000000002,66.00000000000001,108.00000000000003,1,250.33333333333334,181.33333333333331
64,168.66666666666666,185.0,0.9117117117117116,0.39334448746658074,0.22544898658313509,4,4,8,none,0,1,13863.292929292928,278.17171717171715,0.5,2,0,0.9848484848484845,108.3333333333333,177.7272727272727,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.8044444444444446,60.33333333333335,100.44444444444446,1,253.66666666666669,106.33333333333331
65,179.33333333333331,185.0,0.9693693693693692,0.4176007224505813,0.24417530645808216,7,1,8,none,0,1,14155.696969696968,292.4040404040404,0.125,2,0,0.9878787878787877,108.66666666666664,178.18181818181816,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.9422222222222225,70.66666666666669,114.22222222222226,1,110.66666666666669,176.33333333333331
66,172.33333333333331,185.0,0.9315315315315315,0.4176007224505813,0.24417530645808216,0,13,13,none,0,1,14438.595959595958,282.8989898989899,1.0,2,0,0.9363636363636361,102.99999999999997,170.4545454545454,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.9244444444444447,69.33333333333336,112.44444444444447,1,265.6666666666667,227.99999999999997
67,180.33333333333331,185.0,0.9747747747747747,0.4176007224505813,0.24417530645808216,5,4,9,none,0,1,14732.333333333332,293.73737373737373,0.4444444444444444,2,0,0.9878787878787877,108.66666666666664,178.18181818181816,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.9555555555555558,71.66666666666669,115.55555555555559,1,198.0,453.0
68,164.66666666666663,185.0,0.8900900900900899,0.4176007224505813,0.24417530645808216,9,3,12,none,0,1,15004.656565656564,272.3232323232323,0.25,2,0,0.83030303030303,91.3333333333333,154.5454545454545,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.9777777777777779,73.33333333333334,117.77777777777779,1,328.0,438.0
