t,active_cpu_fog,fog_capacity,pressure,predicted_pressure,prediction_uncertainty,tasks_placed_fog,tasks_placed_cloud,arrivals,scale_decision,scale_up_total,scale_down_total,energy_joules_cumul,energy_tick,offload_ratio,active_fog_nodes,overloaded,fog_f0_p,fog_f0_load,fog_f0_power,fog_f0_active,fog_f1_p,fog_f1_load,fog_f1_power,fog_f1_active,fog_f2_p,fog_f2_load,fog_f2_power,fog_f2_active,fog_f3_p,fog_f3_load,fog_f3_power,fog_f3_active,fog_f4_p,fog_f4_load,fog_f4_power,fog_f4_active,cloud_c0_load,cloud_c1_load
18,215.33333333333334,235.0,0.9163120567375886,0.47410723236425056,0.1828568173066206,4,6,10,none,0,0,5747.929292929292,342.21212121212125,0.6,3,0,0.9303030303030303,102.33333333333333,169.54545454545453,1,0.7800000000000002,39.000000000000014,54.000000000000014,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.9866666666666667,74.0,118.66666666666667,1,346.33333333333337,154.33333333333331
19,185.0,235.0,0.7872340425531915,0.49673321774491935,0.18493040317783682,3,0,3,none,0,0,6052.919191919192,304.98989898989896,0.0,3,0,0.9303030303030303,102.33333333333333,169.54545454545453,1,0.5866666666666669,29.333333333333343,44.33333333333334,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.711111111111111,53.33333333333333,91.1111111111111,1,256.33333333333337,154.33333333333331
20,137.66666666666669,235.0,0.5858156028368795,0.49789559549379403,0.18287984714154087,6,0,6,none,0,0,6293.696969696969,240.77777777777777,0.0,3,0,0.6,66.0,120.0,1,0.5866666666666669,29.333333333333343,44.33333333333334,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.5644444444444444,42.33333333333333,76.44444444444444,1,231.33333333333337,46.333333333333314
21,187.33333333333334,235.0,0.7971631205673759,0.49789559549379403,0.18287984714154087,7,1,8,none,0,0,6601.030303030302,307.33333333333337,0.125,3,0,0.8,88.0,150.0,1,0.6066666666666669,30.333333333333343,45.33333333333334,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.92,69.0,112.0,1,2.842170943040401e-14,51.333333333333336
22,185.66666666666669,235.0,0.7900709219858156,0.49789559549379403,0.18287984714154087,7,3,10,none,0,0,6906.393939393938,305.3636363636364,0.3,3,0,0.8757575757575757,96.33333333333333,161.36363636363637,1,0.6066666666666669,30.333333333333343,45.33333333333334,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.7866666666666666,59.0,98.66666666666666,1,100.00000000000003,176.33333333333334
23,175.66666666666669,235.0,0.747517730496454,0.49789559549379403,0.18287984714154087,3,1,4,none,0,0,7198.121212121211,291.72727272727275,0.25,3,0,0.7848484848484848,86.33333333333333,147.72727272727272,1,0.6066666666666669,30.333333333333343,45.33333333333334,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.7866666666666666,59.0,98.66666666666666,1,166.00000000000003,176.33333333333334
24,116.66666666666667,235.0,0.49645390070921985,0.49789559549379403,0.18287984714154087,6,4,10,none,0,0,7412.161616161615,214.04040404040404,0.4,3,0,0.5454545454545454,60.0,111.81818181818181,1,0.5000000000000001,25.000000000000007,40.00000000000001,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.4222222222222222,31.666666666666668,62.22222222222222,1,267.0,147.0
25,160.33333333333334,235.0,0.6822695035460993,0.47859301925704456,0.1789230707499219,7,3,10,none,0,0,7684.919191919191,272.75757575757575,0.3,3,0,0.8606060606060605,94.66666666666666,159.09090909090907,1,0.5333333333333335,26.666666666666675,41.66666666666668,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.5200000000000001,39.00000000000001,72.00000000000001,1,408.3333333333333,228.0
26,193.66666666666669,235.0,0.824113475177305,0.47859301925704456,0.1789230707499219,9,3,12,none,0,0,8000.040404040403,315.1212121212121,0.25,3,0,0.9696969696969696,106.66666666666666,175.45454545454544,1,0.6800000000000002,34.00000000000001,49.00000000000001,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.7066666666666668,53.00000000000001,90.66666666666667,1,369.3333333333333,279.3333333333333
27,120.0,235.0,0.5106382978723404,0.47859301925704456,0.1789230707499219,2,4,6,none,0,0,8222.737373737373,222.6969696969697,0.6666666666666666,3,0,0.7424242424242423,81.66666666666666,141.36363636363635,1,0.28666666666666685,14.333333333333341,29.333333333333343,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.3200000000000001,24.000000000000007,52.000000000000014,1,478.3333333333333,322.3333333333333
28,155.33333333333334,235.0,0.6609929078014185,0.47859301925704456,0.1789230707499219,4,1,5,none,0,0,8488.888888888889,266.1515151515152,0.2,3,0,0.5787878787878787,63.66666666666666,116.81818181818181,1,0.4733333333333335,23.666666666666675,38.66666666666667,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.9066666666666668,68.00000000000001,110.66666666666669,1,388.3333333333333,241.33333333333331
29,107.66666666666669,235.0,0.45815602836879443,0.47859301925704456,0.1789230707499219,3,0,3,none,0,0,8693.656565656565,204.7676767676768,0.0,3,0,0.36363636363636365,40.0,84.54545454545455,1,0.30000000000000016,15.000000000000007,30.000000000000007,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.7022222222222224,52.66666666666668,90.22222222222224,1,141.33333333333331,89.99999999999997
30,193.33333333333334,235.0,0.822695035460993,0.4667779648289763,0.16966795243852517,8,3,11,none,0,0,9010.171717171717,316.51515151515156,0.2727272727272727,3,0,0.8545454545454545,94.0,158.1818181818182,1,0.5466666666666667,27.33333333333334,42.333333333333336,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.9600000000000002,72.00000000000001,116.00000000000001,1,76.33333333333331,148.33333333333334
31,160.00000000000003,235.0,0.6808510638297873,0.4667779648289763,0.16966795243852517,3,5,8,none,0,0,9282.68686868687,272.51515151515156,0.625,3,0,0.8545454545454545,94.0,158.1818181818182,1,0.5200000000000001,26.000000000000007,41.00000000000001,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.5333333333333335,40.000000000000014,73.33333333333336,1,164.66666666666663,329.3333333333333
32,159.33333333333334,235.0,0.6780141843971632,0.4667779648289763,0.16966795243852517,9,3,12,none,0,0,9553.353535353535,270.6666666666667,0.25,3,0,0.7333333333333333,80.66666666666666,140.0,1,0.5533333333333335,27.66666666666667,42.66666666666667,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.6800000000000002,51.000000000000014,88.00000000000001,1,329.66666666666663,260.66666666666663
33,217.0,235.0,0.9234042553191489,0.4667779648289763,0.16966795243852517,4,6,10,none,0,0,9895.808080808081,342.4545454545455,0.6,3,0,0.9363636363636364,103.0,170.45454545454547,1,0.9,45.0,60.0,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.9200000000000002,69.00000000000001,112.00000000000001,1,247.66666666666663,391.33333333333326
34,192.66666666666669,235.0,0.8198581560283689,0.4667779648289763,0.16966795243852517,2,2,4,none,0,0,10208.929292929293,313.1212121212121,0.5,3,0,0.9363636363636364,103.0,170.45454545454547,1,0.7133333333333333,35.666666666666664,50.666666666666664,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.7200000000000001,54.00000000000001,92.00000000000001,1,132.99999999999997,330.33333333333326
35,134.0,235.0,0.5702127659574469,0.47423270956673114,0.16659601830127652,3,1,4,none,0,0,10443.727272727274,234.7979797979798,0.25,3,0,0.606060606060606,66.66666666666666,120.90909090909089,1,0.6533333333333333,32.666666666666664,47.666666666666664,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.4622222222222223,34.66666666666667,66.22222222222223,1,42.99999999999997,368.99999999999994
36,131.33333333333331,235.0,0.5588652482269503,0.47423270956673114,0.16659601830127652,7,0,7,none,0,0,10679.88888888889,236.1616161616161,0.0,3,0,0.6484848484848483,71.33333333333331,127.27272727272725,1,0.36666666666666664,18.333333333333332,33.33333333333333,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.5555555555555556,41.66666666666667,75.55555555555556,1,1.3333333333333002,89.99999999999994
37,204.33333333333331,235.0,0.8695035460992907,0.47423270956673114,0.16659601830127652,8,1,9,none,0,0,11008.141414141415,328.25252525252523,0.1111111111111111,3,0,0.9757575757575756,107.33333333333331,176.36363636363635,1,0.7466666666666667,37.333333333333336,52.333333333333336,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.7955555555555556,59.66666666666667,99.55555555555556,1,25.0,89.99999999999994
38,202.66666666666666,235.0,0.8624113475177304,0.47423270956673114,0.16659601830127652,3,6,9,none,0,0,11333.78787878788,325.64646464646466,0.6666666666666666,3,0,0.8606060606060604,94.66666666666664,159.09090909090907,1,0.7466666666666667,37.333333333333336,52.333333333333336,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.9422222222222223,70.66666666666667,114.22222222222223,1,254.33333333333331,210.66666666666666
39,196.33333333333334,235.0,0.8354609929078015,0.47423270956673114,0.16659601830127652,8,3,11,none,0,0,11654.434343434345,320.64646464646466,0.2727272727272727,3,0,0.8939393939393939,98.33333333333333,164.0909090909091,1,0.5466666666666666,27.333333333333332,42.33333333333333,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.9422222222222223,70.66666666666667,114.22222222222223,1,294.0,235.66666666666666
40,165.66666666666666,235.0,0.7049645390070921,0.4831318113735388,0.15719440085496988,3,5,8,none,0,0,11932.969696969698,278.5353535353535,0.625,3,0,0.793939393939394,87.33333333333333,149.0909090909091,1,0.6,30.0,45.0,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.6444444444444445,48.333333333333336,84.44444444444444,1,414.66666666666663,416.66666666666663
41,223.0,235.0,0.948936170212766,0.4831318113735388,0.15719440085496988,6,9,15,none,0,0,12281.898989898991,348.92929292929296,0.6,3,0,0.9454545454545454,104.0,171.8181818181818,1,0.9933333333333334,49.66666666666667,64.66666666666667,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.9244444444444446,69.33333333333334,112.44444444444446,1,593.3333333333333,368.3333333333333
42,214.0,235.0,0.9106382978723404,0.4831318113735388,0.15719440085496988,6,3,9,none,0,0,12618.767676767678,336.8686868686869,0.3333333333333333,3,0,0.9272727272727272,102.0,169.0909090909091,1,0.9933333333333334,49.66666666666667,64.66666666666667,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.8311111111111112,62.33333333333334,103.11111111111113,1,458.66666666666663,408.0
43,208.66666666666669,235.0,0.8879432624113476,0.4831318113735388,0.15719440085496988,5,0,5,none,0,0,12951.636363636366,332.8686868686869,0.0,3,0,0.9272727272727272,102.0,169.0909090909091,1,0.8066666666666669,40.33333333333334,55.33333333333334,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.8844444444444446,66.33333333333334,108.44444444444446,1,338.0,202.0
44,206.0,235.0,0.8765957446808511,0.4831318113735388,0.15719440085496988,6,5,11,none,0,0,13282.9696969697,331.33333333333337,0.45454545454545453,3,0,0.9666666666666667,106.33333333333333,175.0,1,0.6933333333333335,34.66666666666667,49.66666666666667,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.8666666666666668,65.00000000000001,106.66666666666669,1,102.66666666666667,182.66666666666666
45,193.33333333333337,235.0,0.8226950354609931,0.49176842017447825,0.14551032059788888,7,1,8,none,0,0,13596.9797979798,314.01010101010104,0.125,3,0,0.8363636363636363,92.0,155.45454545454544,1,0.6933333333333335,34.66666666666667,49.66666666666667,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.8888888888888892,66.66666666666669,108.88888888888891,1,202.66666666666669,143.0
46,211.33333333333337,235.0,0.8992907801418442,0.49176842017447825,0.14551032059788888,7,7,14,none,0,0,13932.757575757578,335.7777777777778,0.5,3,0,1.0,110.0,180.0,1,0.86,43.0,58.0,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.7777777777777781,58.33333333333336,97.77777777777781,1,438.3333333333333,187.33333333333334
47,225.66666666666669,235.0,0.9602836879432625,0.49176842017447825,0.14551032059788888,4,2,6,none,0,0,14285.202020202023,352.44444444444446,0.3333333333333333,3,0,0.9666666666666667,106.33333333333333,175.0,1,1.0,50.0,65.0,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.9244444444444447,69.33333333333336,112.44444444444447,1,235.66666666666663,369.33333333333337
48,213.33333333333337,235.0,0.9078014184397165,0.49176842017447825,0.14551032059788888,5,8,13,none,0,0,14621.171717171721,335.969696969697,0.6153846153846154,3,0,0.9575757575757576,105.33333333333334,173.63636363636365,1,1.0,50.0,65.0,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.7733333333333337,58.00000000000002,97.33333333333337,1,506.3333333333333,355.33333333333337
49,185.33333333333337,235.0,0.7886524822695037,0.49176842017447825,0.14551032059788888,5,0,5,none,0,0,14923.818181818186,302.64646464646466,0.0,3,0,0.893939393939394,98.33333333333334,164.0909090909091,1,0.7466666666666667,37.333333333333336,52.333333333333336,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.6622222222222225,49.666666666666686,86.22222222222224,1,270.66666666666663,86.0
50,114.00000000000003,235.0,0.48510638297872355,0.5020085544765724,0.14903177931967185,4,1,5,none,0,0,15129.606060606064,205.78787878787884,0.2,3,0,0.3696969696969698,40.66666666666668,85.45454545454547,1,0.7466666666666667,37.333333333333336,52.333333333333336,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.4800000000000002,36.000000000000014,68.00000000000003,1,120.66666666666663,167.0
51,142.66666666666669,235.0,0.6070921985815604,0.5020085544765724,0.14903177931967185,8,4,12,none,0,0,15379.414141414145,249.80808080808086,0.3333333333333333,3,0,0.7424242424242424,81.66666666666667,141.36363636363637,1,0.47333333333333344,23.66666666666667,38.66666666666667,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.497777777777778,37.33333333333335,69.7777777777778,1,159.66666666666666,183.66666666666669
52,189.00000000000003,235.0,0.8042553191489363,0.5020085544765724,0.14903177931967185,7,1,8,none,0,0,15686.717171717175,307.30303030303037,0.125,3,0,0.8575757575757577,94.33333333333334,158.63636363636365,1,0.7533333333333334,37.66666666666667,52.66666666666667,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.7600000000000002,57.000000000000014,96.00000000000003,1,159.66666666666666,273.6666666666667
53,193.33333333333337,235.0,0.8226950354609931,0.5020085544765724,0.14903177931967185,3,2,5,none,0,0,16000.414141414145,313.69696969696975,0.4,3,0,0.9090909090909092,100.00000000000001,166.36363636363637,1,0.7266666666666667,36.333333333333336,51.333333333333336,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.7600000000000002,57.000000000000014,96.00000000000003,1,120.66666666666666,210.66666666666669
54,167.33333333333334,235.0,0.7120567375886525,0.5020085544765724,0.14903177931967185,9,1,10,none,0,0,16284.383838383841,283.96969696969694,0.1,3,0,0.7909090909090909,87.0,148.63636363636363,1,0.4066666666666666,20.333333333333332,35.33333333333333,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.8000000000000002,60.000000000000014,100.00000000000001,1,171.0,108.00000000000001
55,206.66666666666669,235.0,0.8794326241134752,0.483735186154152,0.156668862299767,8,5,13,none,0,0,16614.515151515156,330.13131313131316,0.38461538461538464,3,0,0.9727272727272728,107.0,175.9090909090909,1,0.82,41.0,56.0,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.7822222222222224,58.66666666666668,98.22222222222224,1,321.33333333333337,258.0
56,221.00000000000003,235.0,0.9404255319148938,0.483735186154152,0.156668862299767,4,4,8,none,0,0,16963.75757575758,349.24242424242425,0.5,3,0,0.9727272727272729,107.00000000000001,175.90909090909093,1,0.82,41.0,56.0,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.9733333333333335,73.00000000000001,117.33333333333334,1,360.33333333333337,401.6666666666667
57,167.66666666666669,235.0,0.7134751773049646,0.483735186154152,0.156668862299767,4,2,6,none,0,0,17246.888888888894,283.13131313131316,0.3333333333333333,3,0,0.8393939393939395,92.33333333333334,155.90909090909093,1,0.4933333333333333,24.666666666666664,39.666666666666664,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.6755555555555557,50.66666666666668,87.55555555555557,1,310.00000000000006,242.66666666666669
58,146.33333333333334,235.0,0.6226950354609929,0.483735186154152,0.156668862299767,5,1,6,none,0,0,17503.525252525258,256.6363636363637,0.16666666666666666,3,0,0.7575757575757577,83.33333333333334,143.63636363636365,1,0.35999999999999993,17.999999999999996,33.0,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.6000000000000002,45.000000000000014,80.00000000000003,1,120.66666666666669,242.66666666666669
59,164.0,235.0,0.6978723404255319,0.483735186154152,0.156668862299767,5,0,5,none,0,0,17782.575757575763,279.050505050505,0.0,3,0,0.8484848484848484,93.33333333333333,157.27272727272725,1,0.44666666666666666,22.333333333333332,37.33333333333333,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.6444444444444447,48.33333333333335,84.44444444444447,1,120.66666666666669,81.00000000000003
60,211.0,235.0,0.8978723404255319,0.4829653414328259,0.15002339039807494,5,2,7,none,0,0,18116.404040404046,333.82828282828285,0.2857142857142857,3,0,0.8484848484848484,93.33333333333333,157.27272727272725,1,0.92,46.0,61.0,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.9555555555555558,71.66666666666669,115.55555555555559,1,132.33333333333337,51.333333333333364
61,216.33333333333334,235.0,0.9205673758865248,0.4829653414328259,0.15002339039807494,4,5,9,none,0,0,18457.989898989905,341.5858585858586,0.5555555555555556,3,0,0.9090909090909091,100.0,166.36363636363635,1,0.8933333333333333,44.666666666666664,59.666666666666664,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.9555555555555558,71.66666666666669,115.55555555555559,1,116.00000000000003,197.6666666666667
62,175.00000000000003,235.0,0.7446808510638299,0.4829653414328259,0.15002339039807494,5,0,5,none,0,0,18746.41414141415,288.4242424242425,0.0,3,0,0.7939393939393941,87.33333333333334,149.09090909090912,1,0.7533333333333333,37.666666666666664,52.666666666666664,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.666666666666667,50.00000000000002,86.6666666666667,1,116.00000000000003,197.6666666666667
63,221.66666666666669,235.0,0.9432624113475178,0.4829653414328259,0.15002339039807494,6,2,8,none,0,0,19095.878787878795,349.46464646464653,0.25,3,0,0.9727272727272729,107.00000000000001,175.90909090909093,1,0.86,43.0,58.0,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.9555555555555558,71.66666666666669,115.55555555555559,1,50.666666666666686,4.333333333333371
64,208.6666666666667,235.0,0.8879432624113477,0.4829653414328259,0.15002339039807494,5,1,6,none,0,0,19430.52525252526,334.6464646464647,0.16666666666666666,3,0,0.9272727272727276,102.00000000000003,169.09090909090915,1,0.7,35.0,50.0,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.9555555555555558,71.66666666666669,115.55555555555559,1,11.000000000000021,70.33333333333337
65,193.00000000000006,235.0,0.8212765957446811,0.5031281235266575,0.14632799618810424,5,3,8,none,0,0,19744.232323232332,313.7070707070708,0.375,3,0,0.9121212121212123,100.33333333333336,166.81818181818184,1,0.7,35.0,50.0,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.7688888888888892,57.666666666666686,96.88888888888891,1,36.00000000000002,175.00000000000006
66,190.00000000000003,235.0,0.8085106382978725,0.5031281235266575,0.14632799618810424,6,3,9,none,0,0,20053.30303030304,309.0707070707071,0.3333333333333333,3,0,0.887878787878788,97.66666666666669,163.18181818181822,1,0.7333333333333333,36.666666666666664,51.666666666666664,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.7422222222222224,55.666666666666686,94.22222222222224,1,119.33333333333336,197.00000000000006
