t,active_cpu_fog,fog_capacity,pressure,predicted_pressure,prediction_uncertainty,tasks_placed_fog,tasks_placed_cloud,scale_decision,scale_up_total,scale_down_total,energy_joules_cumul,offload_ratio,fog_f0_p,fog_f0_load,fog_f0_power,fog_f1_p,fog_f1_load,fog_f1_power,fog_f2_p,fog_f2_load,fog_f2_power,fog_f3_p,fog_f3_load,fog_f3_power,fog_f4_p,fog_f4_load,fog_f4_power,cloud_c0_load,cloud_c1_load
71,64.66666666666666,110.0,0.5878787878787878,0.49791323102689394,0.3069462408661452,3,3,none,0,2,11037.929292929291,0.5,0.8636363636363635,94.99999999999999,159.54545454545453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,705.666666666667,0.0
72,68.66666666666666,110.0,0.6242424242424242,0.49791323102689394,0.3069462408661452,5,6,none,0,2,11214.747474747473,0.5454545454545454,0.9787878787878787,107.66666666666666,176.81818181818178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,752.6666666666671,0.0
73,70.66666666666666,110.0,0.6424242424242423,0.49791323102689394,0.3069462408661452,4,9,none,0,2,11390.20202020202,0.6923076923076923,0.9696969696969696,106.66666666666666,175.45454545454544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,867.6666666666671,0.0
74,76.33333333333333,110.0,0.6939393939393939,0.49791323102689394,0.3069462408661452,4,7,none,0,2,11569.747474747473,0.6363636363636364,0.9969696969696968,109.66666666666666,179.54545454545453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,855.3333333333337,0.0
75,70.66666666666666,110.0,0.6424242424242423,0.5068487606994305,0.29982926490313805,4,3,none,0,2,11734.292929292928,0.42857142857142855,0.8969696969696969,98.66666666666666,164.54545454545453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,463.33333333333366,0.0
76,37.66666666666666,110.0,0.34242424242424235,0.5068487606994305,0.29982926490313805,5,1,none,0,2,11906.11111111111,0.16666666666666666,0.9454545454545453,103.99999999999999,171.8181818181818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291.33333333333366,0.0
77,96.99999999999999,110.0,0.8818181818181817,0.5068487606994305,0.29982926490313805,1,8,none,0,2,12083.383838383837,0.8888888888888888,0.9818181818181817,107.99999999999999,177.27272727272725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,407.00000000000034,0.0
78,77.33333333333331,110.0,0.7030303030303029,0.5068487606994305,0.29982926490313805,2,7,none,0,2,12257.020202020201,0.7777777777777778,0.9575757575757574,105.33333333333331,173.63636363636363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,624.0000000000005,0.0
79,40.333333333333314,110.0,0.3666666666666665,0.5068487606994305,0.29982926490313805,6,2,none,0,2,12419.747474747473,0.25,0.8848484848484847,97.33333333333331,162.7272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,657.3333333333338,0.0
80,59.99999999999998,110.0,0.5454545454545453,0.5097304790693042,0.29116587985919534,6,9,none,0,2,12598.383838383837,0.6,0.9909090909090907,108.99999999999999,178.6363636363636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,388.0000000000005,0.0
